id,checkpoint,description,lecturer,videourl,objective,Question,Answer,position,mediafire,tags,lesson,topic,seab,subject
366,The Free-falling Ball,"(Requires basic knowledge of forces and free-body diagrams) While a freefalling ball falls with an acceleration of g, its velocity will remain constant after a certain distance and time. Find out how and why this ball reaches terminal velocity!",openlectures,http://youtu.be/moKm9chX_CE,Apply the concepts of kinematics to understand how a freefalling ball reaches terminal velocity,"How does the s, v and a of a freefalling change before it reaches terminal velocity? ","In the case of a freefalling ball, what are the forces acting on it and how do they change with time? ",7,http://www.mediafire.com/?6wwvq2jxoij45gp,,"Displacement, Velocity and Acceleration",Kinematics,Kinematics,Physics
367,4 Kinematics Equations,The 4 kinematics equations are fundamental to solving all kinematics problems. Learn how to derive all of them from a simple v-t graph!,openlectures,http://youtu.be/T1q6NDtsNyA,Learn how to derive the 4 basic kinematics equations from the v-t graph,What are the 4 kinematics equations?,s=0.5(u+v)t; s=ut+0.5at^2; v=u+at; v^2=u^2+2as,1,http://www.mediafire.com/?1nb4mxhs58eex8w,,Kinematic Equations,Kinematics,Kinematics,Physics
368,1-D Motion,So how exactly should we attempt a kinematics question on linear motion? Find out the stepsÂ we need in this checkpoint.,openlectures,http://youtu.be/3ZgnO6kOVbQ,Learn how to attempt a kinematics question (1-D motion) using the 4 equations,What are the steps to solve a 1-D kinematics question?,1. Write down the given info; 2. Indicate the positive direction; 3. Apply the correct kinematics equation to solve for the unknown,2,http://www.mediafire.com/?7l1le8szwcfqc2y,,Kinematic Equations,Kinematics,Kinematics,Physics
369,Braking a Car,"Now thatÂ we are familiar with the 4 equations and know how to tackle kinematics question on linear motion, let's attempt this question on the case of a braking car!Â ",openlectures,http://youtu.be/6BdYSdAlBV4,Apply concepts learnt to understand how a car brakes,"When a braking force is applied to a car which is travelling at an initial velocity of 10m/s, its braking distance is 10m. If the same braking force is applied to the car, which is now travelling at at an initial velocity of 30m/s, what would be its braking distance?","Braking force is proportional to acceleration (or decceleration, in this case). Hence, we need to find 1. the value of a and 2. the new displacement, s'.",3,http://www.mediafire.com/?xcxk61d6nwdd6r3,,Kinematic Equations,Kinematics,Kinematics,Physics
370,2-D Motion,"What happens if motion is now in a plane? In this checkpoint,Â we shall discover how the kinematics equations can be applied to 2-D motion. ",openlectures,http://youtu.be/GpEpzPU8tQA,Learn how the kinematics equations can be applied to 2-D motion,What is the additional step required to solve a 2-D kinematics question?,Split the quantities into its individual x and y components before handling them in the same way as solving 1-D motion.,4,http://www.mediafire.com/?7p9yglhdyojww2k,,Kinematic Equations,Kinematics,Kinematics,Physics
371,Projectile Motion,Projectile motion is an application of 2-D motion. Let us explore how the trajectory of a projectile looks like in and without the presence of air resistance.,openlectures,http://youtu.be/Toy4OjwXF04,Appreciate how air resistance affects projectile motion,How do I determineÂ the horizontal and vertical velocity at each point of the projectile trajectory?,"Do the separate velocities change with time? If yes, which kinematics equation is most appropriate? ",5,http://www.mediafire.com/?ngahj7a493ldjg2,,Kinematic Equations,Kinematics,Kinematics,Physics
372,Kick The Ball,"We have just mastered the concepts on motionÂ in a plane. Now,Â let's challenge ourselvesÂ by attempting the following questionÂ involving a ball being kicked off a tower!Â Â ",openlectures,http://youtu.be/WpG56H4ZMCQ,Apply concepts learnt to understand what happens when a ball is kicked,"A ball is kicked horizontally from a 5m tall building, and it lands 20 m away. At what speed is the ball kicked off the building? (Assume that the ball's horizontal velocity does not change)","In order to find initial velocity (in the x direction), we can use the expression s=ut (x component). However, we need to find time taken, t, before the ball falls to the ground. Hence, we consider the y direction. In this case, consider the following question: If a ball is at rest at a height of 20m, how long will the ball take before it hits the ground? (Facts: Displacement=20m, Initial Velocity=0, Acceleration=Gravitational Acceleration)",6,http://www.mediafire.com/?rbtg9k76qbljc6q,,Kinematic Equations,Kinematics,Kinematics,Physics
373,Introduction to Angles,What is an angle? How do we identify angles? This lecture gets you started on the basics of angles!,openlectures,http://youtu.be/Kh7Y7gGJiUo,To learn what is an angle,What do the angles that form a straight line add up to?,What is the value of a straight angle (angle on a straight line)?,1,http://www.mediafire.com/?rbtg9k76qbljc6q,,Angles,"Angles, Triangles and Polygons",Vectors,Mathematics
374,Types of Angles,Not all angles are the same. In this lecture we'll learn to identify them by their correct names.,openlectures,http://youtu.be/UhZcanQtDOQ,Know the different types of angles and identify them when given a diagram,"How do we differentiate an acute angle, an obtuse angle and a reflex angle?",Think of it as a relation to either the right angle or the straight angle. Is it larger/smaller than a right angle or a straight angle?,2,http://www.mediafire.com/?d7fzfm0nmy68lk4,,Angles,"Angles, Triangles and Polygons",Vectors,Mathematics
375,Basic Angle Sums,"You now know what's an angle. The next step is to find out what happens when you add one angle to another. Two things can happen, and we're going to take a look at both of them.",openlectures,http://youtu.be/avdScqRNZm4,"Understand the 2 basic types of angle sums, complementary and supplementary angles and are able to identify them in a question","If we have an angle which measures 30 degrees, what is its complementary angle? And what is its supplementary angle?","Recall that complementary angles add up to 90 degrees, while supplementary angles add up to 180 degrees.",3,http://www.mediafire.com/?khff5dw24jn1stg,,Angles,"Angles, Triangles and Polygons",Vectors,Mathematics
376,Vertically Opposite Angles,One of the simplest angle properties is that vertically opposite angles are equal. We'll prove this with our understanding of the basic angle sums we've just learnt!,openlectures,http://youtu.be/ZSZO0UZ0VX8,Know and understand that the vertically opposite angles formed by 2 straight lines are equal,How do we identify vertically opposite angles?,The two angles are opposite each other and share the same vertex. (They are formed when two lines intersect.),4,http://www.mediafire.com/?fbc8v781eqwus89,,Angles,"Angles, Triangles and Polygons",Vectors,Mathematics
377,Corresponding Angles,"What happens when you place two parallel lines across a transversal, then add a little sugar and spice?",openlectures,http://youtu.be/jT4pFyxszzk,Know what are corresponding angles and that they are equal when two lines are parallel,How do we identify corresponding angles?,"When a line intersects a pair of parallel lines, the angles that are at the same location at each intersection are known as corresponding angles. Alternatively, spot for the letter 'F'",5,http://www.mediafire.com/?tt4j8iplmj2y624,,Angles,"Angles, Triangles and Polygons",Vectors,Mathematics
378,Alternate Angles,"What happens when you place two parallel lines across a transversal, then give your good old friend ""Corresponding Angles"" a ring? Look out for the magical 'Z'!",openlectures,http://youtu.be/BGYGhFOiSms,Know what are alternate angles and how to apply them to solve a question,How do we identify alternate angles?,"When a line intersects two other lines, alternate angles are the two angles that are formed on the opposite sides and on the opposite end of the first line. Alternatively, spot for the letter 'Z'. (Note that the special properties involving alternate angles only applies to a line intersecting a pair of parallel lines.)",6,http://www.mediafire.com/?8wm82zf5vls27ds,,Angles,"Angles, Triangles and Polygons",Vectors,Mathematics
379,Internal Angles,We'll now use the property of corresponding angles to figure out what happens when angles opposite the street meet for a showdown.,openlectures,http://youtu.be/b-7Q8awXiwU,Know what are internal angles and how to apply them to solve a question,What is the relationship between the two internal angles?,They add up to 180 degrees.,7,http://www.mediafire.com/?25455c0uggcerfh,,Angles,"Angles, Triangles and Polygons",Vectors,Mathematics
